product_id,sku_code,category,unit_base_cost,standard_weight_kg
P0353,SKU-P0353,Consumer Durables,809.34,33.07
P0857,SKU-P0857,Chemical & Raw Material,517.4,20.34
P0300,SKU-P0300,Precision Machinery,403.88,15.35
P0975,SKU-P0975,Precision Machinery,41.98,43.66
P0160,SKU-P0160,Consumer Durables,799.31,0.53
P0116,SKU-P0116,Consumer Durables,176.31,14.04
P0836,SKU-P0836,Chemical & Raw Material,381.35,13.46
P0005,SKU-P0005,Precision Machinery,354.89,2.58
P0840,SKU-P0840,Consumer Durables,327.25,20.8
P0791,SKU-P0791,Precision Machinery,340.53,44.25
P0981,SKU-P0981,Automotive Components,63.32,27.54
P0159,SKU-P0159,Chemical & Raw Material,396.66,1.09
P0700,SKU-P0700,Automotive Components,821.65,36.47
P0247,SKU-P0247,Automotive Components,38.17,10.77
P0030,SKU-P0030,Consumer Durables,388.13,5.93
P0956,SKU-P0956,Chemical & Raw Material,712.39,8.21
P0596,SKU-P0596,Automotive Components,238.49,29.98
P0154,SKU-P0154,Industrial Electronics,375.75,9.75
P0533,SKU-P0533,Consumer Durables,177.5,43.65
P0540,SKU-P0540,Industrial Electronics,396.05,18.08
P0027,SKU-P0027,Consumer Durables,518.27,41.52
P0530,SKU-P0530,Consumer Durables,62.31,14.98
P0672,SKU-P0672,Chemical & Raw Material,248.86,37.38
P0218,SKU-P0218,Industrial Electronics,821.34,27.51
P0342,SKU-P0342,Chemical & Raw Material,141.26,36.2
P0294,SKU-P0294,Automotive Components,37.9,19.34
P0688,SKU-P0688,Automotive Components,188.94,0.75
P0222,SKU-P0222,Precision Machinery,189.04,32.15
P0852,SKU-P0852,Precision Machinery,661.3,3.79
P0062,SKU-P0062,Industrial Electronics,120.59,38.91
P0517,SKU-P0517,Consumer Durables,297.99,3.33
P0404,SKU-P0404,Chemical & Raw Material,626.93,28.87
P0642,SKU-P0642,Precision Machinery,488.03,17.54
P0372,SKU-P0372,Precision Machinery,652.65,25.48
P0544,SKU-P0544,Precision Machinery,456.25,19.53
P0914,SKU-P0914,Industrial Electronics,387.45,9.48
P0884,SKU-P0884,Automotive Components,284.34,23.13
P0097,SKU-P0097,Chemical & Raw Material,230.67,18.76
P0125,SKU-P0125,Precision Machinery,192.53,42.46
P0139,SKU-P0139,Precision Machinery,598.2,39.68
P0492,SKU-P0492,Industrial Electronics,691.7,28.69
P0363,SKU-P0363,Consumer Durables,688.03,8.8
P0080,SKU-P0080,Precision Machinery,292.58,5.93
P0589,SKU-P0589,Automotive Components,287.35,5.4
P0866,SKU-P0866,Automotive Components,559.34,0.52
P0634,SKU-P0634,Chemical & Raw Material,735.1,0.81
P0567,SKU-P0567,Precision Machinery,369.36,10.38
P0021,SKU-P0021,Precision Machinery,247.27,11.36
P0545,SKU-P0545,Precision Machinery,291.64,23.59
P0193,SKU-P0193,Automotive Components,358.16,3.39
