supplier_id,supplier_country,avg_reliability,avg_lead_time,risk_class,supplier_name,corridor_tier
P0001_S1,New Zealand,0.60104219984,7.25477590528,High Risk,Global Vendor P0001_S1,Global
P0001_S2,Cuba,0.60104219984,7.25477590528,High Risk,Global Vendor P0001_S2,Global
P0002_S1,Panama,0.5775892939722223,4.713105251833333,High Risk,Global Vendor P0002_S1,Global
P0002_S2,Hungary,0.5775892939722223,4.713105251833333,High Risk,Global Vendor P0002_S2,Global
P0002_S3,Bulgaria,0.5775892939722223,4.713105251833333,High Risk,Global Vendor P0002_S3,Global
P0003_S1,Ukraine,0.6254339337027027,5.165541592918919,High Risk,Global Vendor P0003_S1,Global
P0003_S2,Poland,0.6254339337027027,5.165541592918919,High Risk,Global Vendor P0003_S2,Global
P0003_S3,Russia,0.6254339337027027,5.165541592918919,High Risk,Global Vendor P0003_S3,Global
P0003_S4,Ireland,0.6254339337027027,5.165541592918919,High Risk,Global Vendor P0003_S4,Global
P0004_S1,Kyrgyzstan,0.4568981741923077,6.241395334230769,High Risk,Global Vendor P0004_S1,Global
P0004_S2,Thailand,0.4568981741923077,6.241395334230769,High Risk,Global Vendor P0004_S2,Global
P0004_S3,Sri Lanka,0.4568981741923077,6.241395334230769,High Risk,Global Vendor P0004_S3,South Asia
P0004_S4,Germany,0.4568981741923077,6.241395334230769,High Risk,Global Vendor P0004_S4,Global
P0004_S5,Italy,0.4568981741923077,6.241395334230769,High Risk,Global Vendor P0004_S5,Global
P0005_S1,Georgia,0.5294801724333333,4.916522854099999,High Risk,Global Vendor P0005_S1,Global
P0005_S2,Portugal,0.5294801724333333,4.916522854099999,High Risk,Global Vendor P0005_S2,Global
P0005_S3,Laos,0.5294801724333333,4.916522854099999,High Risk,Global Vendor P0005_S3,Global
P0006_S1,Ethiopia,0.5800100412941176,4.508124024294117,High Risk,Global Vendor P0006_S1,Global
P0006_S2,Azerbaijan,0.5800100412941176,4.508124024294117,High Risk,Global Vendor P0006_S2,Global
P0006_S3,Bolivia,0.5800100412941176,4.508124024294117,High Risk,Global Vendor P0006_S3,Global
P0006_S4,Saudi Arabia,0.5800100412941176,4.508124024294117,High Risk,Global Vendor P0006_S4,GCC
P0006_S5,Bulgaria,0.5800100412941176,4.508124024294117,High Risk,Global Vendor P0006_S5,Global
P0007_S1,Iraq,0.49323030729411765,6.054124851264707,High Risk,Global Vendor P0007_S1,Global
P0007_S2,Pakistan,0.49323030729411765,6.054124851264707,High Risk,Global Vendor P0007_S2,South Asia
