warehouse_id,product_id,inventory_on_hand_qty,safety_stock_qty,daily_demand_30d_avg,days_of_inventory,stockout_risk_flag
WH_MUMBAI_W,P0353,272.0,361.0,25.8,10.5,1
WH_MUMBAI_W,P0857,2198.0,1869.0,133.5,16.5,0
WH_MUMBAI_W,P0300,812.0,238.0,17.0,47.8,0
WH_MUMBAI_W,P0975,1008.0,994.0,71.0,14.2,0
WH_MUMBAI_W,P0160,2856.0,1974.0,141.0,20.3,0
WH_MUMBAI_W,P0116,1976.0,1067.0,76.2,25.9,0
WH_MUMBAI_W,P0836,4619.0,2474.0,176.7,26.1,0
WH_MUMBAI_W,P0005,2139.0,2495.0,178.2,12.0,1
WH_MUMBAI_W,P0840,1115.0,693.0,49.5,22.5,0
WH_MUMBAI_W,P0791,1082.0,417.0,29.8,36.3,0
WH_MUMBAI_W,P0981,454.0,346.0,24.7,18.4,0
WH_MUMBAI_W,P0159,3459.0,2232.0,159.4,21.7,0
WH_MUMBAI_W,P0700,1897.0,1338.0,95.6,19.8,0
WH_MUMBAI_W,P0247,338.0,300.0,21.4,15.8,0
WH_MUMBAI_W,P0030,1911.0,833.0,59.5,32.1,0
WH_MUMBAI_W,P0956,3078.0,1708.0,122.0,25.2,0
WH_MUMBAI_W,P0596,2872.0,2353.0,168.1,17.1,0
WH_MUMBAI_W,P0154,6298.0,2062.0,147.3,42.8,0
WH_MUMBAI_W,P0533,3762.0,2080.0,148.6,25.3,0
WH_MUMBAI_W,P0540,561.0,518.0,37.0,15.2,0
WH_MUMBAI_W,P0027,312.0,354.0,25.3,12.3,1
WH_MUMBAI_W,P0530,1171.0,1396.0,99.7,11.7,1
WH_MUMBAI_W,P0672,1416.0,1544.0,110.3,12.8,1
WH_MUMBAI_W,P0218,1959.0,2052.0,146.6,13.4,1
WH_MUMBAI_W,P0342,4586.0,1557.0,111.2,41.2,0
WH_MUMBAI_W,P0294,3573.0,1281.0,91.5,39.0,0
WH_MUMBAI_W,P0688,3695.0,1476.0,105.4,35.1,0
WH_MUMBAI_W,P0222,954.0,1217.0,86.9,11.0,1
WH_MUMBAI_W,P0852,6627.0,2145.0,153.2,43.3,0
WH_MUMBAI_W,P0062,1369.0,993.0,70.9,19.3,0
WH_MUMBAI_W,P0517,2085.0,697.0,49.8,41.9,0
WH_MUMBAI_W,P0404,5021.0,2380.0,170.0,29.5,0
WH_MUMBAI_W,P0642,583.0,244.0,17.4,33.5,0
WH_MUMBAI_W,P0372,1428.0,759.0,54.2,26.3,0
WH_MUMBAI_W,P0544,1555.0,1872.0,133.7,11.6,1
WH_MUMBAI_W,P0914,1998.0,1631.0,116.5,17.2,0
WH_MUMBAI_W,P0884,2409.0,1303.0,93.1,25.9,0
WH_MUMBAI_W,P0097,982.0,952.0,68.0,14.4,0
WH_MUMBAI_W,P0125,3035.0,1303.0,93.1,32.6,0
WH_MUMBAI_W,P0139,4335.0,1561.0,111.5,38.9,0
WH_MUMBAI_W,P0492,3215.0,946.0,67.6,47.6,0
WH_MUMBAI_W,P0363,818.0,1091.0,77.9,10.5,1
WH_MUMBAI_W,P0080,1386.0,704.0,50.3,27.6,0
WH_MUMBAI_W,P0589,3107.0,1418.0,101.3,30.7,0
WH_MUMBAI_W,P0866,3569.0,2232.0,159.4,22.4,0
WH_MUMBAI_W,P0634,4608.0,1966.0,140.4,32.8,0
WH_MUMBAI_W,P0567,2531.0,944.0,67.4,37.6,0
WH_MUMBAI_W,P0021,1558.0,854.0,61.0,25.5,0
WH_MUMBAI_W,P0545,827.0,1072.0,76.6,10.8,1
WH_MUMBAI_W,P0193,373.0,379.0,27.1,13.8,1
WH_MUMBAI_W,P0663,3522.0,1998.0,142.7,24.7,0
WH_MUMBAI_W,P0511,5257.0,1662.0,118.7,44.3,0
WH_MUMBAI_W,P0041,4291.0,1420.0,101.4,42.3,0
WH_MUMBAI_W,P0998,2980.0,2395.0,171.1,17.4,0
WH_MUMBAI_W,P0783,5652.0,2087.0,149.1,37.9,0
WH_MUMBAI_W,P0422,5667.0,2337.0,166.9,34.0,0
WH_MUMBAI_W,P0191,3072.0,1907.0,136.2,22.6,0
WH_MUMBAI_W,P0666,1260.0,664.0,47.4,26.6,0
WH_MUMBAI_W,P0364,4330.0,1898.0,135.6,31.9,0
WH_MUMBAI_W,P0524,1220.0,770.0,55.0,22.2,0
WH_MUMBAI_W,P0662,6255.0,2167.0,154.8,40.4,0
WH_MUMBAI_W,P0581,4224.0,1725.0,123.2,34.3,0
WH_MUMBAI_W,P0449,2428.0,1460.0,104.3,23.3,0
WH_MUMBAI_W,P0231,2181.0,1534.0,109.6,19.9,0
