order_id,product_id,warehouse_id,ordered_qty,base_purchase_cost,freight_cost,handling_cost,customs_tariff_cost,total_landed_cost,unit_landed_cost
ORD-2024-10001,P0583,WH_MUMBAI_W,7,2863.84,1632.7206,30.12,0.0,4526.68,646.67
ORD-2024-10002,P0712,WH_NAGPUR_C,17,4348.6,640.17,73.15,0.0,5061.92,297.76
ORD-2024-10003,P0230,WH_KOLKATA_E,28,9817.36,1448.17,120.48,0.0,11386.01,406.64
ORD-2024-10004,P0030,WH_KOLKATA_E,17,6598.21,1486.57,73.15,0.0,8157.93,479.88
ORD-2024-10005,P0152,WH_DELHI_N,41,10209.82,1394.56,176.42,0.0,11780.8,287.34
ORD-2024-10006,P0554,WH_MUMBAI_W,10,7314.700000000001,391.45,43.03,0.0,7749.18,774.92
ORD-2024-10007,P0560,WH_NAGPUR_C,26,943.28,1222.87,111.88,0.0,2278.03,87.62
ORD-2024-10008,P0027,WH_DELHI_N,6,3109.62,800.89,25.82,0.0,3936.33,656.06
ORD-2024-10009,P0583,WH_BLR_S,17,6955.04,854.18,73.15,0.0,7882.37,463.67
ORD-2024-10010,P0213,WH_KOLKATA_E,16,6889.28,423.34,68.85,0.0,7381.47,461.34
ORD-2024-10011,P0337,WH_KOLKATA_E,39,12953.07,1632.15,167.82,0.0,14753.04,378.28
ORD-2024-10012,P0711,WH_KOLKATA_E,26,19600.88,541.44,111.88,0.0,20254.2,779.01
ORD-2024-10013,P0592,WH_DELHI_N,4,2535.04,1350.18,17.21,0.0,3902.43,975.61
ORD-2024-10014,P0926,WH_KOLKATA_E,20,10860.2,155.08,86.06,0.0,11101.34,555.07
ORD-2024-10015,P0198,WH_KOLKATA_E,49,35138.88,1263.27,210.85,0.0,36613.0,747.2
ORD-2024-10016,P0565,WH_DELHI_N,41,4863.01,1281.51,176.42,0.0,6320.94,154.17
ORD-2024-10017,P0316,WH_MUMBAI_W,11,7722.33,397.19,47.33,0.0,8166.85,742.44
ORD-2024-10018,P0069,WH_NAGPUR_C,23,2315.18,990.36,98.97,0.0,3404.51,148.02
ORD-2024-10019,P0041,WH_DELHI_N,33,8087.97,651.1,142.0,0.0,8881.07,269.12
ORD-2024-10020,P0857,WH_DELHI_N,31,16039.4,388.09,133.39,0.0,16560.88,534.22
ORD-2024-10021,P0711,WH_KOLKATA_E,7,5277.16,986.8,30.12,0.0,6294.08,899.15
ORD-2024-10022,P0755,WH_MUMBAI_W,22,13368.3,1131.74,94.67,0.0,14594.71,663.4
ORD-2024-10023,P0097,WH_DELHI_N,5,1153.35,1293.05,21.51,0.0,2467.91,493.58
ORD-2024-10024,P0430,WH_NAGPUR_C,37,20561.27,1363.2,159.21,0.0,22083.68,596.86
ORD-2024-10025,P0913,WH_KOLKATA_E,1,649.59,1091.51,4.3,0.0,1745.4,1745.4
ORD-2024-10026,P0131,WH_DELHI_N,6,464.40000000000003,578.59,25.82,0.0,1068.81,178.14
ORD-2024-10027,P0027,WH_KOLKATA_E,45,23322.149999999998,1632.7206,193.63,0.0,25148.5,558.86
ORD-2024-10028,P0410,WH_KOLKATA_E,47,24125.569999999996,1574.01,202.24,0.0,25901.82,551.1
ORD-2024-10029,P0666,WH_BLR_S,4,2503.12,874.8,17.21,0.0,3395.13,848.78
ORD-2024-10030,P0530,WH_KOLKATA_E,30,1869.3000000000002,1475.36,129.09,0.0,3473.75,115.79
ORD-2024-10031,P0391,WH_BLR_S,30,23725.8,1534.04,129.09,0.0,25388.93,846.3
ORD-2024-10032,P0545,WH_NAGPUR_C,17,4957.88,1235.37,73.15,0.0,6266.4,368.61
ORD-2024-10033,P0364,WH_BLR_S,24,20071.68,1402.69,103.27,0.0,21577.64,899.07
ORD-2024-10034,P0319,WH_NAGPUR_C,31,1878.91,243.66,133.39,0.0,2255.96,72.77
ORD-2024-10035,P0131,WH_NAGPUR_C,28,2167.2000000000003,595.53,120.48,0.0,2883.21,102.97
ORD-2024-10036,P0030,WH_KOLKATA_E,45,17465.85,356.43,193.63,0.0,18015.91,400.35
ORD-2024-10037,P0479,WH_DELHI_N,43,29912.52,298.16,185.03,0.0,30395.71,706.88
ORD-2024-10038,P0479,WH_NAGPUR_C,4,2782.56,1321.0,17.21,0.0,4120.77,1030.19
ORD-2024-10039,P0867,WH_KOLKATA_E,39,30423.120000000003,456.74,167.82,0.0,31047.68,796.09
ORD-2024-10040,P0479,WH_BLR_S,19,13217.16,701.55,81.76,0.0,14000.47,736.87
ORD-2024-10041,P0663,WH_DELHI_N,24,19656.48,834.87,103.27,0.0,20594.62,858.11
ORD-2024-10042,P0754,WH_BLR_S,7,5037.69,206.74,30.12,0.0,5274.55,753.51
ORD-2024-10043,P0783,WH_MUMBAI_W,46,25223.640000000003,1317.61,197.94,0.0,26739.19,581.29
ORD-2024-10044,P0231,WH_KOLKATA_E,48,28560.96,1290.71,206.54,0.0,30058.21,626.21
ORD-2024-10045,P0316,WH_DELHI_N,9,6318.2699999999995,157.38,38.73,0.0,6514.38,723.82
ORD-2024-10046,P0663,WH_MUMBAI_W,22,18018.44,970.6,94.67,0.0,19083.71,867.44
ORD-2024-10047,P0971,WH_BLR_S,2,1131.94,1005.12,8.61,0.0,2145.67,1072.84
ORD-2024-10048,P0027,WH_DELHI_N,27,13993.289999999999,984.38,116.18,0.0,15093.85,559.03
