po_id,supplier_id,product_id,plant_warehouse_id,ordered_qty,received_qty,unit_purchase_cost,po_order_date,po_promised_date,po_dock_delivery_date,procurement_on_time,procurement_in_full,procurement_otif
PO-2024-50001,P0033_S2,P0583,WH_DUBAI_GCC,1136,1136,409.12,2024-06-01,2024-06-06,2024-06-08 00:00:00,0,1,0
PO-2024-50002,P0125_S1,P0712,WH_DELHI_N,228,228,255.8,2024-06-02,2024-06-06,2024-06-08 00:00:00,0,1,0
PO-2024-50003,P0100_S1,P0230,WH_KOLKATA_E,721,721,350.62,2024-06-03,2024-06-08,2024-06-07 10:00:00,1,1,1
PO-2024-50004,P0080_S2,P0030,WH_DUBAI_GCC,573,573,388.13,2024-06-04,2024-06-09,2024-06-08 16:00:00,1,1,1
PO-2024-50005,P0034_S3,P0152,WH_BLR_S,1817,1817,249.02,2024-06-05,2024-06-10,2024-06-09 22:00:00,1,1,1
PO-2024-50006,P0022_S2,P0554,WH_DOHA_GCC,457,457,731.47,2024-06-06,2024-06-12,2024-06-14 00:00:00,0,1,0
PO-2024-50007,P0054_S3,P0560,WH_KOLKATA_E,1658,1658,36.28,2024-06-07,2024-06-12,2024-06-11 15:00:00,1,1,1
PO-2024-50008,P0006_S4,P0027,WH_KOLKATA_E,220,220,518.27,2024-06-08,2024-06-12,2024-06-13 00:00:00,0,1,0
PO-2024-50009,P0033_S2,P0583,WH_DUBAI_GCC,1678,1678,409.12,2024-06-09,2024-06-14,2024-06-21 00:00:00,0,1,0
PO-2024-50010,P0037_S3,P0213,WH_NAGPUR_C,1883,1883,430.58,2024-06-10,2024-06-15,2024-06-18 00:00:00,0,1,0
PO-2024-50011,P0135_S2,P0337,WH_BLR_S,124,124,332.13,2024-06-11,2024-06-15,2024-06-19 00:00:00,0,1,0
PO-2024-50012,P0062_S2,P0711,WH_DUBAI_GCC,1039,1039,753.88,2024-06-12,2024-06-17,2024-06-18 00:00:00,0,1,0
PO-2024-50013,P0095_S4,P0592,WH_BLR_S,1433,1433,633.76,2024-06-13,2024-06-17,2024-06-16 05:00:00,1,1,1
