order_id,customer_id,customer_city,customer_state,product_id,warehouse_id,shipment_id,ordered_qty,fulfilled_qty,order_date,promised_date,actual_pod_date,order_status,is_on_time,is_in_full,is_canonical_otif
ORD-2024-10001,b67461e3f398c5f3350fc89cc61ab299,cruz das almas,BA,P0583,WH_MUMBAI_W,SHP-10001,7,7,2024-06-30 09:00:00,2024-07-01 08:36:00,2024-07-01 08:51:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10002,1c6168ef4f5ddbdedf48f60a4e21128e,duque de caxias,RJ,P0712,WH_NAGPUR_C,SHP-10002,17,17,2024-07-01 08:00:00,2024-07-02 06:59:24,2024-07-02 08:21:00,DELIVERED_ON_TIME,0,1,0
ORD-2024-10003,5a1184a130531482314d389906afee6c,juiz de fora,MG,P0230,WH_KOLKATA_E,SHP-10003,28,28,2024-07-02 17:00:00,2024-07-03 14:04:48,2024-07-03 15:00:00,DELIVERED_ON_TIME,0,1,0
ORD-2024-10004,e01009144dc56be3a71d2f7b83f2243f,sao caetano do sul,SP,P0030,WH_KOLKATA_E,SHP-10004,17,17,2024-07-03 16:00:00,2024-07-04 16:59:24,2024-07-04 18:24:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10005,d5d9f795f5d1144d8105206c7e73d4ab,tambau,SP,P0152,WH_DELHI_N,SHP-10005,41,41,2024-07-04 22:00:00,2024-07-05 19:42:00,2024-07-05 21:24:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10006,c31fb63e9a0d4f50bced79f442f204e2,sao paulo,SP,P0554,WH_MUMBAI_W,SHP-10006,10,10,2024-07-06 01:00:00,2024-07-06 18:04:48,2024-07-07 18:34:48,DELIVERED_LATE,0,1,0
ORD-2024-10007,af18612bfb6a3f68257c693f72848f28,bento goncalves,RS,P0560,WH_NAGPUR_C,SHP-10007,26,26,2024-07-06 23:00:00,2024-07-08 00:24:36,2024-07-08 01:13:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10008,712ac9c596bee080fa8b30ac51b2a4a1,santa cruz do sul,RS,P0027,WH_DELHI_N,SHP-10008,6,6,2024-07-08 13:00:00,2024-07-09 01:33:00,2024-07-09 02:27:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10009,cd9273c83f993ff58ff733f8cb7af886,matias barbosa,MG,P0583,WH_BLR_S,SHP-10009,17,17,2024-07-08 02:00:00,2024-07-09 05:09:36,2024-07-09 05:49:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10010,4eac4449b2468a68990e3dc446e11fa5,sao paulo,SP,P0213,WH_KOLKATA_E,SHP-10010,16,16,2024-07-09 13:00:00,2024-07-10 06:03:00,2024-07-10 05:19:12,DELIVERED_ON_TIME,1,1,1
ORD-2024-10011,dbcf0f4003459921b6ee8298d3fbd73d,passo fundo,RS,P0337,WH_KOLKATA_E,SHP-10011,39,39,2024-07-10 15:00:00,2024-07-11 14:31:12,2024-07-11 15:41:24,DELIVERED_ON_TIME,0,1,0
ORD-2024-10012,70ff28da691fcd6722d037a4eeee3bd6,fortaleza,CE,P0711,WH_KOLKATA_E,SHP-10012,26,26,2024-07-11 22:00:00,2024-07-12 12:47:24,2024-07-12 13:25:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10013,f443e0967a2925875bb575516857ca09,ibirite,MG,P0592,WH_DELHI_N,SHP-10013,4,4,2024-07-13 02:00:00,2024-07-13 19:43:48,2024-07-13 20:04:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10014,82596b31c304bb395d531761b21d8ec7,cajamar,SP,P0926,WH_KOLKATA_E,SHP-10014,20,20,2024-07-14 03:00:00,2024-07-14 17:25:12,2024-07-15 06:31:12,FAILED,0,1,0
ORD-2024-10015,945c975073e57fe39a636afbf6689bcc,campinas,SP,P0198,WH_KOLKATA_E,SHP-10015,49,49,2024-07-14 23:00:00,2024-07-16 01:17:24,2024-07-16 01:51:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10016,2aa0fbe2d18c6b5d509d4ac540fd9e83,pocos de caldas,MG,P0565,WH_DELHI_N,SHP-10016,41,41,2024-07-16 17:00:00,2024-07-17 04:19:12,2024-07-18 01:45:00,DELIVERED_LATE,0,1,0
ORD-2024-10017,3461380430ed4eb137d3478cfab7597d,posto da mata,BA,P0316,WH_MUMBAI_W,SHP-10017,11,11,2024-07-16 11:00:00,2024-07-17 03:45:36,2024-07-17 04:07:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10018,661fec13005e862027ee8bc7a76da0c2,osasco,SP,P0069,WH_NAGPUR_C,SHP-10018,23,23,2024-07-17 22:00:00,2024-07-18 08:47:24,2024-07-18 10:19:12,DELIVERED_ON_TIME,0,1,0
ORD-2024-10019,cffe921679977ecf1929b2cc52a3ae89,belo horizonte,MG,P0041,WH_DELHI_N,SHP-10019,33,33,2024-07-18 14:00:00,2024-07-19 10:00:00,2024-07-19 11:18:36,DELIVERED_ON_TIME,0,1,0
ORD-2024-10020,438488a4ee40335948e2e3f5cfc74111,itapecerica da serra,SP,P0857,WH_DELHI_N,SHP-10020,31,31,2024-07-20 02:00:00,2024-07-20 12:25:12,2024-07-20 18:27:00,FAILED,0,1,0
ORD-2024-10021,c4f6b0c6b4edc8bf67467bb6bf1077fe,montes claros,MG,P0711,WH_KOLKATA_E,SHP-10021,7,7,2024-07-20 15:00:00,2024-07-21 18:07:48,2024-07-21 18:59:24,DELIVERED_ON_TIME,0,1,0
ORD-2024-10022,f3cb1ea188bf53465cfe23d8bb30b479,pinheiro,MA,P0755,WH_MUMBAI_W,SHP-10022,22,22,2024-07-21 20:00:00,2024-07-22 21:50:24,2024-07-22 21:52:48,DELIVERED_ON_TIME,0,1,0
ORD-2024-10023,bfc48761221b04268c51e10b30855efa,sao paulo,SP,P0097,WH_DELHI_N,SHP-10023,5,5,2024-07-23 14:00:00,2024-07-24 00:45:36,2024-07-24 00:23:24,DELIVERED_ON_TIME,1,1,1
