shipment_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,origin_warehouse_id,weather_condition,delayed,distance_km,package_weight_kg,departure_date,expected_delivery_date,actual_delivery_date,carrier_sla_met,delivery_status,delivery_rating,delivery_cost
SHP-10001,250.99,delhivery,automobile parts,bike,same day,west,WH_MUMBAI_W,clear,no,297.0,46.96,2024-07-01 00:00:00,2024-07-01 08:36:00,2024-07-01 08:51:36,1,delivered,3,1632.7206
SHP-10002,250.99,xpressbees,cosmetics,ev van,express,central,WH_NAGPUR_C,cold,no,89.6,47.39,2024-07-02 03:00:00,2024-07-02 06:59:24,2024-07-02 08:21:00,1,delivered,5,640.17
SHP-10003,250.99,shadowfax,groceries,truck,two day,east,WH_KOLKATA_E,rainy,no,273.5,26.89,2024-07-03 06:00:00,2024-07-03 14:04:48,2024-07-03 15:00:00,1,delivered,4,1448.17
SHP-10004,250.99,dhl,electronics,ev van,same day,east,WH_KOLKATA_E,cold,no,269.7,12.69,2024-07-04 09:00:00,2024-07-04 16:59:24,2024-07-04 18:24:36,1,delivered,3,1486.57
SHP-10005,250.99,dhl,clothing,van,two day,north,WH_DELHI_N,foggy,no,256.7,37.02,2024-07-05 12:00:00,2024-07-05 19:42:00,2024-07-05 21:24:36,1,delivered,4,1394.56
SHP-10006,250.99,amazon logistics,documents,ev bike,express,west,WH_MUMBAI_W,rainy,yes,48.4,33.15,2024-07-06 15:00:00,2024-07-06 18:04:48,2024-07-07 18:34:48,0,delayed,3,391.45
SHP-10007,250.99,delhivery,groceries,scooter,same day,central,WH_NAGPUR_C,clear,no,198.3,43.79,2024-07-07 18:00:00,2024-07-08 00:24:36,2024-07-08 01:13:48,1,delivered,3,1222.87
SHP-10008,250.99,xpressbees,fragile items,van,same day,north,WH_DELHI_N,cold,no,114.6,42.63,2024-07-08 21:00:00,2024-07-09 01:33:00,2024-07-09 02:27:36,1,delivered,3,800.89
SHP-10009,250.99,blue dart,clothing,van,same day,south,WH_BLR_S,hot,no,142.4,14.06,2024-07-09 00:00:00,2024-07-09 05:09:36,2024-07-09 05:49:48,1,delivered,5,854.18
SHP-10010,250.99,delhivery,pharmacy,truck,same day,east,WH_KOLKATA_E,foggy,no,47.1,29.28,2024-07-10 03:00:00,2024-07-10 06:03:00,2024-07-10 05:19:12,1,delivered,5,423.34
SHP-10011,250.99,fedex,groceries,scooter,same day,east,WH_KOLKATA_E,cold,no,293.2,22.05,2024-07-11 06:00:00,2024-07-11 14:31:12,2024-07-11 15:41:24,1,delivered,4,1632.15
SHP-10012,250.99,ecom express,electronics,truck,two day,east,WH_KOLKATA_E,cold,no,80.4,46.48,2024-07-12 09:00:00,2024-07-12 12:47:24,2024-07-12 13:25:48,1,delivered,5,541.44
SHP-10013,250.99,xpressbees,pharmacy,ev van,two day,north,WH_DELHI_N,rainy,no,257.7,20.56,2024-07-13 12:00:00,2024-07-13 19:43:48,2024-07-13 20:04:48,1,delivered,4,1350.18
SHP-10014,250.99,xpressbees,cosmetics,bike,express,east,WH_KOLKATA_E,stormy,yes,19.0,3.36,2024-07-14 15:00:00,2024-07-14 17:25:12,2024-07-15 06:31:12,0,failed,1,155.08
SHP-10015,250.99,xpressbees,automobile parts,ev bike,two day,east,WH_KOLKATA_E,stormy,no,237.9,24.59,2024-07-15 18:00:00,2024-07-16 01:17:24,2024-07-16 01:51:36,1,delivered,3,1263.27
SHP-10016,250.99,amazon logistics,furniture,ev van,express,north,WH_DELHI_N,hot,yes,239.3,11.67,2024-07-16 21:00:00,2024-07-17 04:19:12,2024-07-18 01:45:00,0,delayed,3,1281.51
SHP-10017,250.99,fedex,documents,bike,standard,west,WH_MUMBAI_W,stormy,no,79.0,0.73,2024-07-17 00:00:00,2024-07-17 03:45:36,2024-07-17 04:07:48,1,delivered,5,397.19
SHP-10018,250.99,blue dart,fragile items,ev bike,standard,central,WH_NAGPUR_C,rainy,no,170.7,45.62,2024-07-18 03:00:00,2024-07-18 08:47:24,2024-07-18 10:19:12,1,delivered,5,990.36
SHP-10019,250.99,amazon logistics,documents,van,same day,north,WH_DELHI_N,rainy,no,90.0,33.7,2024-07-19 06:00:00,2024-07-19 10:00:00,2024-07-19 11:18:36,1,delivered,3,651.1
SHP-10020,250.99,fedex,cosmetics,truck,express,north,WH_DELHI_N,rainy,yes,64.0,6.03,2024-07-20 09:00:00,2024-07-20 12:25:12,2024-07-20 18:27:00,0,failed,2,388.09
SHP-10021,250.99,fedex,automobile parts,scooter,two day,east,WH_KOLKATA_E,foggy,no,185.9,19.1,2024-07-21 12:00:00,2024-07-21 18:07:48,2024-07-21 18:59:24,1,delivered,4,986.8
SHP-10022,250.99,dhl,electronics,scooter,two day,west,WH_MUMBAI_W,stormy,no,217.9,14.08,2024-07-22 15:00:00,2024-07-22 21:50:24,2024-07-22 21:52:48,1,delivered,4,1131.74
SHP-10023,250.99,blue dart,automobile parts,scooter,same day,north,WH_DELHI_N,cold,no,214.1,40.85,2024-07-23 18:00:00,2024-07-24 00:45:36,2024-07-24 00:23:24,1,delivered,5,1293.05
SHP-10024,250.99,ecom express,clothing,bike,standard,central,WH_NAGPUR_C,clear,no,251.7,34.9,2024-07-24 21:00:00,2024-07-25 04:35:24,2024-07-25 05:19:48,1,delivered,4,1363.2
SHP-10025,250.99,amazon logistics,furniture,van,standard,east,WH_KOLKATA_E,foggy,no,214.9,5.67,2024-07-25 00:00:00,2024-07-25 06:46:48,2024-07-25 06:48:00,1,delivered,5,1091.51
